#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	print
#open	2024-03-30-17-34-55
#fields	ts	vals
#types	time	vector[string]
1711595615.516483	The subject is CN=*.badssl.com\x2cO=BadSSL\x2cL=San Francisco\x2cST=California\x2cC=US
1711595615.516483	The issuer is CN=*.badssl.com\x2cO=BadSSL\x2cL=San Francisco\x2cST=California\x2cC=US
1711595615.516483	This is a self self-signed certificate
1711595615.516483	(empty)
1711595615.766713	Zeek connection established from 192.168.0.112:46966/tcp to 104.154.89.105:443/tcp 
1711595616.277280	The self-signed certificate is 
1711595616.277280	[ts=1711595616.022803\x2c fingerprint=faa43dcd57768ea79a7638120b8a70dfdf27da9546a38c4c8123220371627af6\x2c certificate=[version=3\x2c serial=CD96E1DC95899CB2\x2c subject=CN=*.badssl.com\x2cO=BadSSL\x2cL=San Francisco\x2cST=California\x2cC=US\x2c issuer=CN=*.badssl.com\x2cO=BadSSL\x2cL=San Francisco\x2cST=California\x2cC=US\x2c cn=*.badssl.com\x2c not_valid_before=1708531112.0\x2c not_valid_after=1771603112.0\x2c key_alg=rsaEncryption\x2c sig_alg=sha256WithRSAEncryption\x2c key_type=rsa\x2c key_length=2048\x2c exponent=65537\x2c curve=<uninitialized>\x2c tbs_sig_alg=sha256WithRSAEncryption]\x2c handle=<no value description>\x2c extensions=[[name=X509v3 Basic Constraints\x2c short_name=basicConstraints\x2c oid=2.5.29.19\x2c critical=F\x2c value=CA:FALSE]\x2c [name=X509v3 Subject Alternative Name\x2c short_name=subjectAltName\x2c oid=2.5.29.17\x2c critical=F\x2c value=DNS:*.badssl.com\x2c DNS:badssl.com]]\x2c san=[dns=[*.badssl.com\x2c badssl.com]\x2c uri=<uninitialized>\x2c email=<uninitialized>\x2c ip=<uninitialized>\x2c other_fields=F]\x2c basic_constraints=[ca=F\x2c path_len=<uninitialized>]\x2c extensions_cache=[[name=X509v3 Basic Constraints\x2c short_name=basicConstraints\x2c oid=2.5.29.19\x2c critical=F\x2c value=CA:FALSE]\x2c [ca=F\x2c path_len=<uninitialized>]\x2c [name=X509v3 Subject Alternative Name\x2c short_name=subjectAltName\x2c oid=2.5.29.17\x2c critical=F\x2c value=DNS:*.badssl.com\x2c DNS:badssl.com]\x2c [dns=[*.badssl.com\x2c badssl.com]\x2c uri=<uninitialized>\x2c email=<uninitialized>\x2c ip=<uninitialized>\x2c other_fields=F]]\x2c host_cert=T\x2c client_cert=F\x2c deduplication_index=[fingerprint=faa43dcd57768ea79a7638120b8a70dfdf27da9546a38c4c8123220371627af6\x2c host_cert=T\x2c client_cert=F]]
1711595616.277280	The subject is CN=*.badssl.com\x2cO=BadSSL\x2cL=San Francisco\x2cST=California\x2cC=US
1711595616.277280	The issuer is CN=*.badssl.com\x2cO=BadSSL\x2cL=San Francisco\x2cST=California\x2cC=US
1711595616.277280	This is a self self-signed certificate
1711595616.277280	(empty)
1711595621.062618	Zeek connection finished from 192.168.0.112:46966/tcp to 104.154.89.105:443/tcp 
1711595627.777920	Zeek stopped
#close	2024-03-30-17-34-56
